property_id,id,full_address,street_address,unit,city,state,zip_code,county,latitude,longitude,property_type,bedrooms,bathrooms,sqft,lot_size_sqft,year_built,building_age,last_sale_price,last_sale_date,days_since_sale,price_per_sqft,assessed_value,tax_year,annual_tax,owner_name,owner_occupied,assessor_id,median_price_per_sqft_group,assessment_flag
P-100272,10272,"236 Elm St, Apt 3B, St. Louis, MO 60940",236 Elm St,Apt 3B,St. Louis,MO,60940,St. Louis,38.49988,-99.320598,Townhouse,7,1.5,756,5548,2003,21,421488.12,2022-01-05,1560,557.52,401493.61,2024,3691.83,Daniel Young,False,MO-ST-79672,225.08,Within band
P-100273,10273,"8302 Lakeshore Dr, Apt 9A, Chicago, IL 83490",8302 Lakeshore Dr,Apt 9A,Chicago,IL,83490,Cook,45.548274,-155.130504,Condo,5,3.0,3332,11359,1970,54,700624.76,2026-01-28,76,210.27,633388.58,2023,13301.16,Lisa Thomas,False,IL-CO-75700,148.0,Under-assessed
P-100274,10274,"4321 Forest Glen Rd, Apt 19B, Albuquerque, NM 13862",4321 Forest Glen Rd,Apt 19B,Albuquerque,NM,13862,Bernalillo,46.019623,-74.426872,Condo,2,3.5,3818,14581,1937,87,188480.11,2021-12-30,1566,49.37,180227.57,2024,2766.38,Kevin Baker,True,NM-BE-41504,122.94,Within band
P-100275,10275,"5218 Valley View Dr, Minneapolis, MN 68873",5218 Valley View Dr,,Minneapolis,MN,68873,Hennepin,35.369194,-139.012117,Single Family,5,5.0,6203,9517,1937,87,361018.75,2018-05-17,2889,58.2,386143.11,2022,5081.94,Stephanie Martinez,False,MN-HE-84035,127.64,Within band
P-100277,10277,"3126 Oak Ave, Apt 6D, Jacksonville, FL 90213",3126 Oak Ave,Apt 6D,Jacksonville,FL,90213,Duval,37.349082,-104.312408,Townhouse,2,2.5,2491,13752,1923,101,400223.84,2018-07-26,2819,160.67,413810.59,2022,5804.89,Joshua Walker,False,FL-DU-59015,130.82,Within band
P-100278,10278,"7863 Lake Dr, Fairfax, VA 31467",7863 Lake Dr,,Fairfax,VA,31467,Fairfax,26.121385,-154.196029,Single Family,3,4.0,2423,13422,1945,79,1209331.91,2025-07-17,271,499.11,1031709.42,2023,18989.18,Dorothy Hall,True,VA-FA-69971,195.64,Under-assessed
P-100279,10279,"7105 Creekside Dr, Apt 24A, Charlotte, NC 15482",7105 Creekside Dr,Apt 24A,Charlotte,NC,15482,Mecklenburg,37.110144,-85.283419,Townhouse,4,5.0,4902,15410,2010,14,733797.49,2020-06-11,2133,149.69,611102.8,2023,10953.48,Robert Thomas,True,NC-ME-61853,129.09,Under-assessed
P-100280,10280,"6447 Cedar Ln, Apt 4B, Fort Wayne, IN 34884",6447 Cedar Ln,Apt 4B,Fort Wayne,IN,34884,Allen,28.716253,-122.370529,Condo,7,3.0,4379,7106,1974,50,349647.39,2025-09-02,224,79.85,352089.99,2022,4775.38,Carol Lewis,True,IN-AL-75622,141.22,Within band
P-100281,10281,"9052 Lake Dr, New Orleans, LA 61520",9052 Lake Dr,,New Orleans,LA,61520,Orleans,31.959322,-117.772931,Single Family,4,2.5,4324,5801,1952,72,372778.33,2019-01-04,2657,86.21,399673.82,2022,6642.78,Linda Garcia,True,LA-OR-68903,131.1,Within band
P-100282,10282,"6046 Pine Rd, Apt 25A, Honolulu, HI 78657",6046 Pine Rd,Apt 25A,Honolulu,HI,78657,Honolulu,39.742897,-93.761976,Condo,5,2.0,3702,12718,1968,56,583913.55,2024-05-14,700,157.73,626933.87,2024,11570.48,Barbara Hernandez,False,HI-HO-33444,653.3,Within band
P-100283,10283,"5147 Clearwater Ct, Pittsburgh, PA 68491",5147 Clearwater Ct,,Pittsburgh,PA,68491,Allegheny,28.652684,-141.279446,Single Family,2,1.0,5700,9846,1921,103,477741.27,2016-09-09,3504,83.81,453659.61,2022,6939.09,Dorothy Thomas,True,PA-AL-96438,120.29,Within band
P-100284,10284,"7534 Willow Way, Apt 22E, Rockville, MD 67917",7534 Willow Way,Apt 22E,Rockville,MD,67917,Montgomery,23.10423,-104.791117,Condo,5,3.0,5677,15976,1991,33,1284145.67,2023-12-15,851,226.2,1046162.2,2022,9060.57,Matthew Williams,True,MD-MO-14250,253.54,Under-assessed
P-100285,10285,"4989 Valley View Dr, Tulsa, OK 21495",4989 Valley View Dr,,Tulsa,OK,21495,Tulsa,22.299331,-120.724748,Single Family,2,3.0,5606,16434,2008,16,665880.52,2019-11-12,2345,118.78,689980.25,2022,13520.52,Deborah Nguyen,True,OK-TU-14697,128.71,Within band
P-100286,10286,"5003 Ridgewood Rd, Sacramento, CA 58309",5003 Ridgewood Rd,,Sacramento,CA,58309,Sacramento,44.784539,-85.636967,Multi Family,7,5.0,1131,5928,1980,44,860364.66,2018-06-29,2846,760.71,910112.99,2023,13037.03,Kimberly Wilson,False,CA-SA-90223,479.75,Within band
P-100288,10288,"3912 Heritage Ln, Wichita, KS 35369",3912 Heritage Ln,,Wichita,KS,35369,Sedgwick,21.041894,-154.913149,Single Family,6,2.5,5640,12433,1972,52,155483.91,2022-05-12,1433,27.57,150527.81,2024,1587.78,Kevin Gonzalez,False,KS-SE-43347,104.04,Within band
P-100289,10289,"5142 Clearwater Ct, Oakland, CA 76412",5142 Clearwater Ct,,Oakland,CA,76412,Alameda,35.57483,-90.268164,Single Family,6,3.5,3396,9884,2012,12,2185210.7,2025-12-15,120,643.47,2293625.19,2022,27445.93,Nancy Baker,True,CA-AL-72193,449.01,Within band
P-100290,10290,"2324 Riverside Dr, Apt 3B, Fort Worth, TX 30366",2324 Riverside Dr,Apt 3B,Fort Worth,TX,30366,Tarrant,37.620813,-79.390926,Condo,3,4.5,3991,4908,1986,38,353488.12,2018-02-25,2970,88.57,354710.94,2024,7094.22,Jessica Torres,False,TX-TA-56346,158.16,Within band
P-100292,10292,"3641 Clearwater Ct, Apt 5A, Aurora, CO 32939",3641 Clearwater Ct,Apt 5A,Aurora,CO,32939,Arapahoe,23.974129,-88.709873,Condo,1,4.5,4745,5153,2022,2,879195.83,2020-09-03,2049,185.29,743996.03,2023,14198.15,Timothy King,True,CO-AR-52904,256.52,Under-assessed
P-100293,10293,"2274 Jefferson St, Apt 1E, Charleston, SC 14791",2274 Jefferson St,Apt 1E,Charleston,SC,14791,Charleston,33.173263,-94.910067,Condo,1,1.0,3147,3868,2007,17,781536.74,2016-07-03,3572,248.34,645645.29,2023,12054.35,Michael King,False,SC-CH-50957,144.56,Under-assessed
P-100294,10294,"3538 Ridgewood Rd, Apt 11C, Lakewood, CO 36287",3538 Ridgewood Rd,Apt 11C,Lakewood,CO,36287,Jefferson,26.102459,-132.93149,Townhouse,7,4.5,6097,8024,1954,70,479184.87,2023-03-20,1121,78.59,399802.2,2024,5883.29,Michael Wilson,True,CO-JE-82006,257.12,Under-assessed
P-100296,10296,"7404 Hillcrest Ave, Apt 8B, Albuquerque, NM 50952",7404 Hillcrest Ave,Apt 8B,Albuquerque,NM,50952,Bernalillo,29.806801,-139.761199,Condo,1,4.5,5251,7410,1931,93,754023.79,2018-06-13,2862,143.6,709146.38,2023,8314.53,Carol Rivera,False,NM-BE-71675,122.94,Within band
P-100297,10297,"4327 Meadow Ln, Apt 5E, Manhattan, NY 61390",4327 Meadow Ln,Apt 5E,Manhattan,NY,61390,New York,25.858856,-77.197995,Townhouse,7,3.5,4313,12300,1923,101,649363.86,2025-01-06,463,150.56,587954.98,2023,12935.01,Charles Roberts,True,NY-NE-85324,521.74,Under-assessed
P-100298,10298,"6746 River Blvd, Apt 14D, Fort Lauderdale, FL 52712",6746 River Blvd,Apt 14D,Fort Lauderdale,FL,52712,Broward,35.737971,-150.829613,Condo,5,4.5,3883,13558,1972,52,306088.73,2023-07-20,999,78.83,295187.29,2023,3721.07,Nancy Wilson,False,FL-BR-87459,145.87,Within band
P-100299,10299,"5706 Monroe Blvd, Apt 27E, Louisville, KY 32686",5706 Monroe Blvd,Apt 27E,Louisville,KY,32686,Jefferson,38.559225,-150.223187,Townhouse,7,4.5,1536,11238,1996,28,481068.58,2020-01-22,2274,313.2,398948.33,2023,4035.0,Betty Jones,True,KY-JE-99850,129.87,Under-assessed
P-100300,10300,"5464 Orchard Ln, Cincinnati, OH 94540",5464 Orchard Ln,,Cincinnati,OH,94540,Hamilton,38.494366,-149.123629,Single Family,5,1.0,1801,12628,1939,85,473320.05,2023-01-06,1194,262.81,434032.02,2024,5801.24,Jessica Baker,False,OH-HA-49286,208.92,Within band
P-100301,10301,"5089 Summit Rd, Apt 8D, Louisville, KY 55123",5089 Summit Rd,Apt 8D,Louisville,KY,55123,Jefferson,47.242665,-106.302753,Townhouse,5,4.0,1644,6463,1927,97,407993.86,2020-02-16,2249,248.17,444864.21,2022,7313.68,Matthew Davis,False,KY-JE-14087,129.87,Within band
P-100302,10302,"6559 Ridgewood Rd, Apt 21A, Baton Rouge, LA 60173",6559 Ridgewood Rd,Apt 21A,Baton Rouge,LA,60173,East Baton Rouge,31.759865,-119.138466,Condo,6,2.0,4490,6768,1944,80,553228.83,2016-10-28,3455,123.21,596018.1,2023,5871.5,Brian Rodriguez,True,LA-EA-19403,138.14,Within band
P-100303,10303,"8074 Summit Rd, Manhattan, NY 27796",8074 Summit Rd,,Manhattan,NY,27796,New York,23.243581,-101.124868,Multi Family,7,4.5,6296,16198,1974,50,2350907.87,2021-03-09,1862,373.4,2240002.56,2024,49280.06,Anthony Thompson,True,NY-NE-65675,515.98,Within band
P-100304,10304,"221 Orchard Ln, Apt 28C, Tulsa, OK 41031",221 Orchard Ln,Apt 28C,Tulsa,OK,41031,Tulsa,39.871445,-133.575211,Condo,5,3.5,874,1494,1992,32,496949.14,2022-02-24,1510,568.59,414430.39,2023,8098.32,Jennifer Martinez,False,OK-TU-78997,106.53,Under-assessed
P-100305,10305,"8569 Pine Rd, St. Louis, MO 78597",8569 Pine Rd,,St. Louis,MO,78597,St. Louis,44.58276,-149.305167,Single Family,6,1.5,6203,16585,1989,35,742516.63,2022-10-12,1280,119.7,730570.83,2023,10535.12,James Walker,True,MO-ST-71503,127.4,Within band
P-100306,10306,"5531 Willow Way, Apt 10E, Lexington, KY 56257",5531 Willow Way,Apt 10E,Lexington,KY,56257,Fayette,46.455405,-87.55458,Condo,2,1.0,6293,16084,2015,9,357175.26,2017-06-24,3216,56.76,346142.79,2022,5383.07,Donna Hernandez,True,KY-FA-96025,141.41,Within band
P-100307,10307,"4799 Orchard Ln, Apt 12B, San Antonio, TX 20814",4799 Orchard Ln,Apt 12B,San Antonio,TX,20814,Bexar,24.360765,-150.312983,Condo,3,2.0,5644,10247,1955,69,789129.54,2026-02-14,59,139.82,806828.73,2024,16136.57,Donna Mitchell,True,TX-BE-68543,158.16,Within band
P-100308,10308,"3969 Orchard Ln, Apt 24C, Durham, NC 33699",3969 Orchard Ln,Apt 24C,Durham,NC,33699,Durham,42.183358,-82.004745,Townhouse,1,2.0,5478,8003,1983,41,707153.81,2021-08-26,1692,129.09,729153.6,2022,11613.96,Timothy Green,True,NC-DU-85727,129.09,Within band
P-100310,10310,"772 River Blvd, Columbia, SC 79637",772 River Blvd,,Columbia,SC,79637,Richland,37.89174,-73.812022,Multi Family,5,3.0,3344,7773,1954,70,745806.76,2023-06-03,1046,223.03,743049.5,2023,10055.91,Amanda Mitchell,True,SC-RI-98065,223.03,Within band
P-100311,10311,"3293 Valley View Dr, Apt 20A, Baton Rouge, LA 98829",3293 Valley View Dr,Apt 20A,Baton Rouge,LA,98829,East Baton Rouge,39.292376,-141.347251,Condo,1,1.0,1156,1351,1972,52,196205.03,2025-02-12,426,169.73,197313.56,2023,2098.03,Charles Taylor,True,LA-EA-13106,138.14,Within band
P-100312,10312,"9834 Jefferson St, San Jose, CA 88562",9834 Jefferson St,,San Jose,CA,88562,Santa Clara,37.909196,-95.397466,Single Family,1,2.0,3679,14433,2017,7,3194686.51,2019-12-08,2319,868.36,3325540.93,2022,62360.61,George Lopez,True,CA-SA-71204,449.01,Within band
P-100313,10313,"7529 Jackson Dr, Apt 30B, Irvine, CA 65965",7529 Jackson Dr,Apt 30B,Irvine,CA,65965,Orange,39.34387,-98.920609,Townhouse,3,2.0,1206,5749,2019,5,640281.51,2021-12-04,1592,530.91,576123.01,2022,6394.31,Thomas Lopez,True,CA-OR-74450,453.55,Under-assessed
P-100314,10314,"6532 Washington Ave, Wichita, KS 94604",6532 Washington Ave,,Wichita,KS,94604,Sedgwick,34.039518,-144.483084,Multi Family,2,1.5,4217,15938,1953,71,200563.95,2025-06-19,299,47.56,164687.81,2024,1812.74,Donald Johnson,False,KS-SE-29510,296.18,Under-assessed
P-100315,10315,"114 Maple Dr, Apt 23D, Billings, MT 97111",114 Maple Dr,Apt 23D,Billings,MT,97111,Yellowstone,31.347821,-143.81015,Townhouse,4,1.0,4822,16415,2018,6,502729.97,2021-05-23,1787,104.26,463101.69,2024,8044.65,John Wright,True,MT-YE-60387,104.26,Within band
P-100316,10316,"9393 Hillcrest Ave, Tampa, FL 53704",9393 Hillcrest Ave,,Tampa,FL,53704,Hillsborough,39.068647,-122.146513,Single Family,3,5.0,3385,4703,1978,46,713153.4,2023-01-12,1188,210.68,709115.36,2022,10391.17,Anthony Nelson,True,FL-HI-61131,138.34,Within band
P-100317,10317,"5986 Orchard Ln, Apt 1A, Fort Lauderdale, FL 21123",5986 Orchard Ln,Apt 1A,Fort Lauderdale,FL,21123,Broward,44.458175,-118.895414,Condo,2,1.0,2181,2596,2012,12,897179.18,2023-08-11,977,411.36,849422.12,2022,14875.82,Carol Martin,True,FL-BR-68891,145.87,Within band
P-100318,10318,"1018 Valley View Dr, Apt 5A, Nashville, TN 15611",1018 Valley View Dr,Apt 5A,Nashville,TN,15611,Davidson,31.745958,-138.583999,Condo,4,5.0,1820,11312,1949,75,841356.33,2025-11-13,152,462.28,858720.17,2023,13607.26,Steven Flores,True,TN-DA-95037,138.25,Within band
P-100319,10319,"918 Clearwater Ct, Apt 22E, Atlanta, GA 22752",918 Clearwater Ct,Apt 22E,Atlanta,GA,22752,Fulton,33.088892,-142.150023,Townhouse,1,1.5,1535,9680,1996,28,743356.67,2023-10-23,904,484.27,608759.33,2022,7983.6,Deborah Baker,True,GA-FU-25833,170.94,Under-assessed
P-100320,10320,"2350 Ridgewood Rd, Apt 20D, Provo, UT 37948",2350 Ridgewood Rd,Apt 20D,Provo,UT,37948,Utah,41.252039,-105.401583,Townhouse,1,1.5,2843,5157,2016,8,443820.37,2018-06-22,2853,156.11,404310.68,2022,5362.75,Donna Williams,True,UT-UT-92863,122.46,Within band
P-100321,10321,"356 Orchard Ln, Bronx, NY 20580",356 Orchard Ln,,Bronx,NY,20580,Bronx,21.168264,-141.391082,Single Family,6,3.0,4009,15371,2023,1,2866334.18,2020-12-11,1950,714.97,2888426.45,2022,63545.38,Karen King,True,NY-BR-41359,408.84,Within band
P-100322,10322,"716 Washington Ave, Apt 25B, Atlanta, GA 75521",716 Washington Ave,Apt 25B,Atlanta,GA,75521,Fulton,37.21932,-149.342156,Condo,3,4.0,637,9774,1950,74,269684.23,2020-05-03,2172,423.37,294774.96,2024,3638.35,Ronald Wright,True,GA-FU-70845,139.77,Within band
P-100323,10323,"969 Lincoln Rd, Tacoma, WA 24769",969 Lincoln Rd,,Tacoma,WA,24769,Pierce,42.110244,-97.383793,Single Family,4,2.0,1908,12887,1925,99,614784.22,2022-03-14,1492,322.21,544403.33,2023,5997.46,Michelle Carter,True,WA-PI-23686,526.32,Under-assessed
P-100324,10324,"8904 Washington Ave, San Diego, CA 30715",8904 Washington Ave,,San Diego,CA,30715,San Diego,41.815538,-114.799659,Single Family,1,2.5,4243,13953,1994,30,1444215.56,2024-01-20,815,340.38,1479058.74,2023,15915.79,Linda Lee,True,CA-SA-41079,449.01,Within band
P-100325,10325,"3376 Forest Glen Rd, Philadelphia, PA 38922",3376 Forest Glen Rd,,Philadelphia,PA,38922,Philadelphia,22.948537,-106.096974,Single Family,4,2.0,2370,12354,1978,46,258887.4,2022-02-04,1530,109.24,217703.95,2024,2248.85,Matthew Moore,True,PA-PH-26673,120.29,Under-assessed
P-100326,10326,"9417 Cedar Ln, Fort Worth, TX 46779",9417 Cedar Ln,,Fort Worth,TX,46779,Tarrant,24.61729,-82.906331,Single Family,4,2.0,3414,7016,1957,67,590836.07,2017-06-06,3234,173.06,613506.23,2024,12270.12,Kenneth Scott,False,TX-TA-21334,115.36,Within band
P-100327,10327,"8648 Orchard Ln, Apt 2D, Philadelphia, PA 38369",8648 Orchard Ln,Apt 2D,Philadelphia,PA,38369,Philadelphia,36.676893,-84.181955,Condo,1,4.0,2620,6680,1961,63,458714.0,2023-10-16,911,175.08,489698.66,2024,9478.13,Kenneth Smith,True,PA-PH-15796,115.78,Within band
P-100329,10329,"7960 Clearwater Ct, Apt 13C, Dallas, TX 31207",7960 Clearwater Ct,Apt 13C,Dallas,TX,31207,Dallas,39.637569,-82.360776,Townhouse,1,4.5,4399,6670,2010,14,436181.09,2017-06-04,3236,99.15,462991.2,2024,9259.82,Kevin Smith,False,TX-DA-19266,143.56,Within band
P-100330,10330,"635 Heritage Ln, Apt 13C, Columbia, SC 65823",635 Heritage Ln,Apt 13C,Columbia,SC,65823,Richland,40.951532,-96.269216,Townhouse,5,2.5,6208,7534,1999,25,807060.85,2018-01-12,3014,130.0,871361.79,2024,16855.51,Amanda White,False,SC-RI-24544,130.0,Within band
P-100331,10331,"769 Meadow Ln, St. Louis, MO 58029",769 Meadow Ln,,St. Louis,MO,58029,St. Louis,25.644586,-108.38523,Single Family,5,2.5,1733,7220,1950,74,540914.38,2019-01-02,2659,312.13,510378.7,2024,9418.31,George Wilson,False,MO-ST-39548,127.4,Within band
P-100332,10332,"5878 Jackson Dr, Henderson, NV 76003",5878 Jackson Dr,,Henderson,NV,76003,Clark,39.026009,-132.888356,Single Family,3,3.5,4306,12272,1984,40,530812.43,2024-11-27,503,123.27,499520.59,2024,8062.11,Andrew Jackson,True,NV-CL-58253,117.32,Within band
P-100334,10334,"5780 Willow Way, Apt 27E, Rockville, MD 68177",5780 Willow Way,Apt 27E,Rockville,MD,68177,Montgomery,40.549295,-155.13104,Condo,1,1.0,2503,11016,2002,22,703052.84,2019-10-17,2371,280.88,634742.64,2024,11071.11,Dorothy Nguyen,False,MD-MO-79489,253.54,Under-assessed
P-100335,10335,"7603 Clearwater Ct, Portland, OR 84350",7603 Clearwater Ct,,Portland,OR,84350,Multnomah,24.496788,-88.326701,Single Family,7,3.0,2457,10390,1967,57,1464868.86,2017-08-26,3153,596.2,1543465.1,2022,18888.08,Ashley Hernandez,False,OR-MU-31075,291.42,Within band
P-100336,10336,"4773 Washington Ave, Salt Lake City, UT 32984",4773 Washington Ave,,Salt Lake City,UT,32984,Salt Lake,43.242289,-96.721244,Single Family,2,2.5,1557,2231,1960,64,568129.63,2021-05-04,1806,364.89,498887.22,2022,5219.29,Melissa Williams,False,UT-SA-55068,109.86,Under-assessed
P-100337,10337,"6209 Harbor View Blvd, Manhattan, NY 80761",6209 Harbor View Blvd,,Manhattan,NY,80761,New York,46.84984,-110.573063,Single Family,1,4.0,4691,7072,1978,46,3279824.43,2024-07-13,640,699.17,2628084.91,2024,57817.87,Paul Perez,False,NY-NE-48739,408.84,Under-assessed
P-100338,10338,"4848 Sunset Blvd, Apt 2E, Rockville, MD 84086",4848 Sunset Blvd,Apt 2E,Rockville,MD,84086,Montgomery,40.30641,-76.760587,Townhouse,6,1.5,4523,5179,1937,87,1113610.0,2024-12-21,479,246.21,993813.03,2023,15314.92,Joseph Lewis,True,MD-MO-52777,298.14,Under-assessed
P-100339,10339,"3297 Madison Ave, Boise, ID 46428",3297 Madison Ave,,Boise,ID,46428,Ada,26.186465,-149.727709,Single Family,6,1.5,4792,11254,1944,80,502562.98,2019-07-09,2471,104.88,493277.3,2022,9323.61,Margaret Sanchez,True,ID-AD-66051,144.4,Within band
P-100340,10340,"6426 Meadow Ln, Cleveland, OH 11597",6426 Meadow Ln,,Cleveland,OH,11597,Cuyahoga,28.543235,-126.432112,Single Family,7,5.0,1317,4850,2013,11,812487.8,2017-12-19,3038,616.92,891932.17,2023,10224.76,Timothy Ramirez,False,OH-CU-64289,208.92,Within band
P-100341,10341,"9720 Pine Rd, Apt 7B, Brooklyn, NY 28827",9720 Pine Rd,Apt 7B,Brooklyn,NY,28827,Kings,26.50627,-115.708658,Condo,3,1.5,5438,11594,1931,93,470187.55,2019-02-13,2617,86.46,505133.37,2023,11112.93,Ashley Rivera,True,NY-KI-27947,351.08,Within band
P-100342,10342,"4842 Orchard Ln, Apt 29C, Cincinnati, OH 15535",4842 Orchard Ln,Apt 29C,Cincinnati,OH,15535,Hamilton,42.804179,-130.726618,Townhouse,3,4.5,5181,12774,1948,76,140935.21,2026-04-03,11,27.2,119260.39,2023,2322.28,Kevin Walker,True,OH-HA-97282,148.98,Under-assessed
P-100343,10343,"3038 Orchard Ln, Apt 1C, Pittsburgh, PA 94513",3038 Orchard Ln,Apt 1C,Pittsburgh,PA,94513,Allegheny,27.485882,-146.616144,Condo,4,1.5,5506,11433,1994,30,494779.01,2021-05-23,1787,89.86,524715.01,2024,8516.63,George Davis,True,PA-AL-85400,115.78,Within band
P-100345,10345,"1648 Broadway, Apt 4B, Decatur, GA 81265",1648 Broadway,Apt 4B,Decatur,GA,81265,DeKalb,29.549082,-129.489692,Condo,3,3.5,1385,10140,1994,30,394270.91,2024-09-02,589,284.67,316942.28,2024,3605.86,Stephanie Young,True,GA-DE-31368,139.77,Under-assessed
P-100346,10346,"8347 Madison Ave, Apt 23C, Queens, NY 34696",8347 Madison Ave,Apt 23C,Queens,NY,34696,Queens,42.070329,-108.396996,Condo,7,5.0,6437,15466,2009,15,2756735.57,2025-01-02,467,428.26,2550542.44,2022,56111.93,David Johnson,True,NY-QU-50838,351.08,Within band
P-100347,10347,"7340 Valley View Dr, Brooklyn, NY 32571",7340 Valley View Dr,,Brooklyn,NY,32571,Kings,39.812214,-154.49792,Single Family,2,2.0,6287,8619,2008,16,1141052.01,2024-11-16,514,181.49,984673.46,2022,21662.82,Ronald Davis,True,NY-KI-73472,408.84,Under-assessed
P-100348,10348,"796 Lincoln Rd, Apt 6C, Saint Paul, MN 24131",796 Lincoln Rd,Apt 6C,Saint Paul,MN,24131,Ramsey,21.869007,-99.598371,Townhouse,1,4.5,1574,5719,1925,99,171672.94,2018-10-18,2735,109.07,137867.4,2022,2397.3,Joshua Wilson,True,MN-RA-36217,130.12,Under-assessed
P-100349,10349,"1587 Sunset Blvd, San Antonio, TX 46356",1587 Sunset Blvd,,San Antonio,TX,46356,Bexar,46.142978,-126.738221,Single Family,7,5.0,5621,9583,1984,40,564783.58,2025-03-04,406,100.48,590693.56,2022,11813.87,Melissa Gonzalez,False,TX-BE-32514,115.36,Within band
P-100350,10350,"170 River Blvd, Salt Lake City, UT 38051",170 River Blvd,,Salt Lake City,UT,38051,Salt Lake,45.392645,-82.937178,Single Family,3,2.0,4201,15236,1933,91,261061.86,2022-04-21,1454,62.14,285703.58,2023,3020.25,Joseph Clark,True,UT-SA-51193,109.86,Within band
P-100351,10351,"7733 Park Way, Apt 28D, Tampa, FL 78121",7733 Park Way,Apt 28D,Tampa,FL,78121,Hillsborough,24.601678,-90.68219,Condo,5,1.0,1273,6648,1983,41,210263.63,2023-02-07,1162,165.17,197034.63,2024,2313.99,Donald Anderson,True,FL-HI-48088,145.87,Within band
P-100352,10352,"1240 Riverside Dr, Lawrenceville, GA 99015",1240 Riverside Dr,,Lawrenceville,GA,99015,Gwinnett,30.737197,-155.887632,Single Family,6,1.5,3847,11024,1986,38,633667.65,2025-04-30,349,164.72,529597.47,2023,6782.82,Donna Miller,False,GA-GW-32114,150.1,Under-assessed
P-100353,10353,"6059 Lincoln Rd, Oakland, CA 54385",6059 Lincoln Rd,,Oakland,CA,54385,Alameda,26.306983,-83.569433,Multi Family,1,2.5,4079,15960,1983,41,1299480.91,2018-04-13,2923,318.58,1338194.59,2024,15089.05,Carol Sanchez,True,CA-AL-97382,479.75,Within band
P-100354,10354,"6726 Orchard Ln, Tulsa, OK 77032",6726 Orchard Ln,,Tulsa,OK,77032,Tulsa,28.390602,-90.184039,Single Family,1,3.0,4608,12755,1949,75,610129.4,2024-10-09,552,132.41,493544.08,2024,4261.37,John Young,False,OK-TU-33474,128.71,Under-assessed
P-100355,10355,"5456 Sunset Blvd, Cincinnati, OH 49682",5456 Sunset Blvd,,Cincinnati,OH,49682,Hamilton,37.482119,-148.618974,Single Family,6,5.0,4632,12267,1945,79,348979.09,2020-09-12,2040,75.34,330509.41,2023,4795.45,Andrew Wright,True,OH-HA-14141,208.92,Within band
P-100356,10356,"2051 Forest Glen Rd, Saint Paul, MN 68997",2051 Forest Glen Rd,,Saint Paul,MN,68997,Ramsey,29.335819,-124.258719,Single Family,1,1.0,2048,11168,2004,20,791081.35,2022-11-19,1242,386.27,842826.04,2022,11713.39,David Martin,False,MN-RA-73891,127.64,Within band
P-100357,10357,"9420 Orchard Ln, Orlando, FL 96517",9420 Orchard Ln,,Orlando,FL,96517,Orange,35.675273,-110.072862,Single Family,4,5.0,1880,10181,1927,97,425280.16,2020-09-25,2027,226.21,415632.06,2023,6402.1,Matthew Roberts,False,FL-OR-52006,138.34,Within band
P-100358,10358,"561 Maple Dr, Apt 3A, San Jose, CA 26803",561 Maple Dr,Apt 3A,San Jose,CA,26803,Santa Clara,43.178755,-126.647719,Townhouse,1,3.5,3717,5311,1974,50,1502686.23,2022-04-11,1464,404.27,1387849.27,2022,22115.21,Sarah Thomas,False,CA-SA-87664,453.55,Within band
P-100359,10359,"1975 Valley View Dr, Lakewood, CO 32253",1975 Valley View Dr,,Lakewood,CO,32253,Jefferson,21.522368,-128.627835,Single Family,6,4.0,5253,13686,1973,51,619942.66,2018-06-24,2851,118.02,583310.23,2022,11566.56,Anthony Torres,True,CO-JE-85043,215.23,Within band
P-100360,10360,"8101 River Blvd, Apt 10E, Miami, FL 98488",8101 River Blvd,Apt 10E,Miami,FL,98488,Miami-Dade,26.45657,-113.784368,Townhouse,2,3.0,3576,10719,1945,79,507622.33,2016-10-12,3471,141.95,554441.44,2022,10026.83,Andrew Wilson,True,FL-MI-16230,130.82,Within band
P-100361,10361,"3800 Pine Rd, Grand Rapids, MI 85784",3800 Pine Rd,,Grand Rapids,MI,85784,Kent,23.510441,-127.695089,Single Family,5,5.0,4493,11490,1946,78,390906.86,2025-06-03,315,87.0,389132.55,2023,5469.52,Lisa Ramirez,False,MI-KE-51071,152.83,Within band
P-100362,10362,"6888 Creekside Dr, Apt 18E, Chicago, IL 42933",6888 Creekside Dr,Apt 18E,Chicago,IL,42933,Cook,37.561543,-117.569111,Condo,2,1.0,5743,17266,1986,38,792913.65,2019-10-25,2363,138.07,753078.53,2024,15814.65,Deborah Robinson,True,IL-CO-93614,148.0,Within band
P-100363,10363,"9375 Cedar Ln, Apt 8D, Saint Paul, MN 78454",9375 Cedar Ln,Apt 8D,Saint Paul,MN,78454,Ramsey,26.317173,-116.763658,Condo,2,3.0,4166,10887,1960,64,790945.04,2025-07-24,264,189.86,783176.57,2023,8774.1,Charles Adams,True,MN-RA-88804,159.96,Within band
P-100364,10364,"1960 Sunset Blvd, Apt 21A, Scottsdale, AZ 35154",1960 Sunset Blvd,Apt 21A,Scottsdale,AZ,35154,Maricopa,21.734161,-87.657106,Condo,4,4.5,5186,12331,1974,50,624599.2,2025-11-13,152,120.44,537528.29,2023,5180.25,Thomas Moore,False,AZ-MA-33066,150.88,Under-assessed
